slug	headers_all	authors_all	created	translator	lang_orig	date_trans	sphere	words	publisher	series	edition	via_lang	rights_class	pairs	commentary_excluded	sa_inline_ana	sa_morph_units_covered	doubt
bhagavadgita-1788	Багуат-Гета, или Беседы Кришны с Арджуном		0	А. А. Петров	san	1788	нехудожественная: церковно-богословская	15731	Университетская типография у Н. Новикова		Багуат-Гета, или Беседы Кришны с Арджуном, с примечаниями. М.: Унив. тип. у Н. Новикова, 1788 (meta imprint 1914 = later reprint)	eng (Ch. Wilkins 1785)	public-domain	697	124	0	0	indirect translation from English; meta year 1914
bhagavadgita-1909	Бхагавадъ-Гита		0	А. П. Казначеева	san	1909	нехудожественная: церковно-богословская	14346			Бхагавадъ-Гита / Перевод в стихах А. П. Казначеевой. Владимир, 1909	probably Western verse translation(s) (Серебряный)	public-domain	691	535	0	0	publisher unknown; source language disputed
bhagavadgita-1914	Бхагавад-Гита, или Песнь Господня		0	А. А. Каменская, И. В. де Манциарли	san	1914	нехудожественная: церковно-богословская	13913	Вестник теософии (тип. Калужской губ. земской управы)		Бхагавад-Гита, или Песнь Господня / Пер. с англ. и санскр. А. Каменской и И. Манциарли. Калуга, 1914	eng+san	public-domain	701	255	0	0	first printed serially in «Вестник теософии» 1909
bhagavadgita-smirnov	Бхагавадгита		0	Б. Л. Смирнов	san	1956	художественная	25193	Ылым	Философские тексты Махабхараты, вып. I, кн. 1	Бхагавадгита / Пер. с санскр., предисл. и примеч. Б. Л. Смирнова. Ашхабад (meta: 1977; catalogues give Ылым, 1978)		in-copyright	700	589	0	0	edition year 1977 vs 1978 unconfirmed; first edition 1956 (Изд-во АН ТССР) used for date_trans
bhagavadgita-sementsov	Бхагавадгита		0	В. С. Семенцов	san	1985	художественная	12991	Восточная литература		Бхагавадгита / Пер. с санскр., исслед. и примеч. В. С. Семенцова. 2-е изд. М.: Восточная литература РАН, 1999 (1-е: М.: Наука, 1985)		in-copyright	696	94	0	0	
bhagavadgita-erman	Бхагавадгита (Махабхарата. Книга шестая. Бхишмапарва)		0	В. Г. Эрман	san	2009	художественная	13590	Ладомир; Наука	Литературные памятники	Махабхарата. Кн. 6. Бхишмапарва / Пер. с санскр., предисл., ст. и коммент. В. Г. Эрмана. М.: Ладомир; Наука, 2009		in-copyright	700	301	0	0	
bhagavadgita-burba	Бхагавадгита		0	Д. В. Бурба	san	2009	художественная	66020	РИПОЛ классик		Бхагавадгита / Пер. с санскр. Д. Бурбы. М.: РИПОЛ классик, 2009. 560 с. ISBN 978-5-386-01452-0		in-copyright	719	593	0	0	web-verified 23-09-2026: literary translation from Sanskrit with word-by-word grammar (not confessional) — sphere moved to художественная; on the H5281 sphere card
bhagavadgita-prabhupada	Бхагавад-гита как она есть		0	А. Ч. Бхактиведанта Свами Прабхупада (англ. пер. и комм.)	san	1984	нехудожественная: церковно-богословская	44371	Бхактиведанта Бук Траст		Бхагавад-гита как она есть. Бхактиведанта Бук Траст, 1984	eng (Prabhupada, Bhagavad-gītā As It Is)	in-copyright	657	624	0	0	Russian text translated from English by an unnamed team (coordinated by О. Х. Киселева, per vasudeva.ru); web-verified 23-09-2026
bhagavadgita-radha	Бхагавадгита с комментарием «Сарартха-варшини-тика»		0	Р. Т. Блиндерман	san	2016	нехудожественная: церковно-богословская	193134	Золотой Век		Бхагавад-гита в традиции бенгальского вайшнавизма: в 3 т. / Пер., сост., ред. Р. Т. Блиндерман. М.: Золотой век, 2016 (т. 1: ISBN 978-5-9907999-1-2)		in-copyright	647	1227	0	0	web-verified 23-09-2026 (vol. 1, 2016); translated from Sanskrit, Hindi and Bengali
bhagavadgita-sharma	Йогешвари Шримад Бхагавад Гита		0	Шайлендра Шарма	san	2015	нехудожественная: церковно-богословская	44302			Йогешвари Шримад Бхагавад Гита / Йогический комментарий Шайлендры Шармы, 2015		in-copyright	660	57	0	0	credit is the commentator; Russian translator and source language not stated
03_mahabharata-aranyakaparva	Махабхарата. Книга третья. Лесная (Араньякапарва)		0	Я. В. Васильков, С. Л. Невелева	san	1987	художественная	200497	Наука (ГРВЛ)	Памятники письменности Востока, т. LXXX	Махабхарата. Кн. 3. Лесная (Араньякапарва) / Пер. с санскр., предисл. и коммент. Я. В. Василькова и С. Л. Невелевой. М.: Наука, ГРВЛ, 1987		in-copyright	2033	1319	30	2032	
01_ramayana-balakanda	Рамаяна. Книга первая. Балаканда (Книга о детстве)	Вальмики	150	П. А. Гринцер	san	2006	художественная	38280	Ладомир; Наука	Литературные памятники	Рамаяна. Кн. 1. Балаканда. Кн. 2. Айодхьяканда / Изд. подгот. П. А. Гринцер. М.: Ладомир; Наука, 2006		in-copyright	2268	519	23	1812	
02_ramayana-ayodhyakanda	Рамаяна. Книга вторая. Айодхьяканда (Книга об Айодхье)	Вальмики	150	П. А. Гринцер	san	2006	художественная	72277	Ладомир; Наука	Литературные памятники	Рамаяна. Кн. 1. Балаканда. Кн. 2. Айодхьяканда / Изд. подгот. П. А. Гринцер. М.: Ладомир; Наука, 2006		in-copyright	4307	944	19	2668	
03_ramayana-aranyakanda	Рамаяна. Книга третья. Араньяканда (Книга о лесе)	Вальмики	150	П. А. Гринцер	san	2014	художественная	40702	Ладомир; Наука	Литературные памятники	Рамаяна. Кн. 3. Араньяканда (Книга о лесе) / Изд. подгот. П. А. Гринцер; отв. ред. С. Д. Серебряный. М.: Ладомир; Наука, 2014		in-copyright	2447	694	4	1770	posthumous (Гринцер d. 2009); earlier RIGHTS_TABLE flag «атрибуция требует проверки» resolved by the publisher record
