book	hymn	verse	dcs_chapter_id	match	coverage	dcs_sent_ids	dcs_text	samudra_ru
1	8	1	10447	content	0.812	633257_1,633258_1	idam haviḥ yātudhānān nadī phenam iva ā vahat / yaḥ idam strī pumān akaḥ iha sa stuvatām janaḥ	Пусть это жертвенное возлияние принесет Колдунов, как река — пену. Кто это совершил, женщина (или) мужчина, Пусть этот человек здесь объявит себя!
1	8	2	10447	content	0.75	633259_1,633259_2,633260_1	ayam stuvānaḥ āgamat / imam sma prati haryata / bṛhaspate vaśe labdhvā agnīṣomāḥ vi vidhyatam	Он пришел, объявляя себя, — Примите же его! О Брихаспати, подчинив (его) своей воле, О Агни-Сома, пронзите (его) насквозь!
1	8	3	10447	content	0.833	633261_1,633262_1	yātudhānasya somapa jahi prajām nayasva ca / ni stuvānasya pātaya param akṣi uta avaram	О пьющий сому (Индра), убей потомство Колдуна и приведи (его самого)! Выбей дальний и ближний глаз У (него), кичащегося!
1	8	4	10447	content	0.75	633264_1	yatra eṣām agne janimāni vettha guhā satām attriṇām jātavedaḥ tān tvam brahmaṇā vāvṛdhānaḥ jahi eṣām śatatarham agne	Где только, о Агни, ты узнаешь рождения Этих скрывающихся пожирателей, о Джатаведас, Ты их убей, мощно подкрепляемый заговором, Стократно пробуравив их, о Агни!
1	9	1	10576	content	0.667	633265_1,633266_1	asmin vasu vasavaḥ dhārayantu indraḥ pūṣā varuṇaḥ mitraḥ agniḥ / imam ādityāḥ uta viśve ca devāḥ uttarasmin jyotiṣi dhārayantu	Пусть (боги) Васу поддерживают в нем благо — Индра, Пушан, Варуна, Митра, Агни! Пусть Адитьи, а также и Все-Боги Поддерживают его в высшем светлом пространстве!
1	9	2	10576	content	0.588	633267_1,633268_1,633268_2	asya devāḥ pradiśi jyotiḥ astu sūryaḥ agniḥ uta vā hiraṇyam / sapatnāḥ asmat adhare bhavantu / uttamam nākam adhi rohaya imam	Да будет, о боги, свет в его стороне, Солнце, огонь, а также золото! Да будут соперники ниже его! Подними его на высший небосвод!
1	9	3	10576	content	0.625	633270_1,633270_2	yena indrāya samabharaḥ payāṃsi uttamena brahmaṇā jātavedaḥ tena tvam agne iha vardhaya imam / sajātānām śraiṣṭhye ā dhehi enam	Тот мощнейший заговор, о Джатаведас, Силой которого ты собрал для Индры глотки (сомы), Укрепи ты здесь им его, о Агни! Надели его превосходством над сородичами!
1	9	4	10576	content	0.5	633271_1,633272_1,633272_2	ā eṣām yajñam uta varcaḥ dade aham rāyaḥ poṣam uta cittāni agne / sapatnāḥ asmat adhare bhavantu / uttamam nākam adhi rohaya imam	Я забрал себе их жертву и блеск, (Их) процветание богатства и намерения, о Агни. Да будут соперники ниже его! Подними его на высший небосвод!
1	10	1	10577	content	0.737	633273_1,633273_2,633274_1	ayam devānām asuraḥ vi rājati / vaśāḥ hi satyāḥ varuṇasya rājñaḥ / tatas pari brahmaṇā śāśadānaḥ ugrasya manyoḥ ud imam nayāmi	Этот Асура правит богами — Ведь повеления царя Варуны (всегда) сбываются. От этого, от ярости грозного (бога) Я увожу его, одерживая верх с помощью заговора.
1	10	2	10577	content	1.0	633275,633276	namas te rājan varuṇāstu manyave viśvaṃ hy ugra nicikeṣi drugdham / sahasram anyān pra suvāmi sākaṃ śataṃ jīvāti śaradas tavāyam	Да будет поклонение твоей ярости, о царь Варуна, — Ведь ты, о грозный, замечаешь любой обман! Тысячу других я уступаю (тебе) сразу. Этот пусть живет у тебя сотню осеней!
1	10	3	10577	content	1.0	633277,633278	yad uvakthānṛtam jihvayā vṛjinaṃ bahu / rājñas tvā satyadharmaṇo muñcāmi varuṇād aham	Если языком произнес ты неправду, Много лжи, Я освобождаю тебя от царя Варуны, чьи законы истинны.
1	10	4	10577	content	1.0	633279,633280	muñcāmi tvā vaiśvānarād arṇavān mahatas pari / sajātān ugrehā vada brahma cāpa cikīhi naḥ	Я освобождаю тебя от всеобъемлющего Великого потока. Сородичей извести здесь, о грозный, И уважь наше заклинание!
1	11	1	10580	content	1.0	633281,633282	vaṣaṭ te pūṣann asmint sūtāv aryamā hotā kṛṇotu vedhāḥ / sisratāṃ nāry ṛtaprajātā vi parvāṇi jihatāṃ sūtavā u	«Вашат!» — да провозгласит тебе, о Пушан, при этих родах Арьяман как искусный хотар. Пусть разрешится от бремени женщина, правильно зачавшая! Пусть разойдутся суставы для родов!
1	11	2	10580	content	1.0	633283,633284	catasro divaḥ pradiśaś catasro bhūmyā uta / devā garbhaṃ sam airayan taṃ vy ūrṇuvantu sūtave	Четыре стороны у неба, Четыре также у земли. Боги вместе вызвали к жизни зародыш. Да раскроют они его для родов!
1	11	3	10580	content	1.0	633285,633286	sūṣā vy ūrṇotu vi yoniṃ hāpayāmasi / śrathayā sūṣaṇe tvam ava tvaṃ biṣkale sṛja	Сушан пусть раскроет (его)! Мы велим лону разверзнуться. Расслабь ты, о Сушана! Выпусти ты, о Бишкала!
1	11	4	10580	content	1.0	633287,633288	neva māṃse na pīvasi neva majjasv āhatam / avaitu pṛśni śevalaṃ śune jarāyv attave 'va jarāyu padyatām	Не прибившись ни к мясу, Ни к жиру, ни к костному мозгу, Пусть выйдет пестрый, слизистый Послед — на съедение собаке! Пусть выпадет послед!
1	11	5	10580	content	1.0	633289,633290	vi te bhinadmi mehanaṃ vi yoniṃ vi gavīnike / vi mātaraṃ ca putraṃ ca vi kumāraṃ jarāyuṇāva jarāyu padyatām	Я рассекаю твой мочевой канал, Рас(секаю) лоно, рас(секаю) чресла(?), Рас(секаю) мать и сына, Рас(секаю) мальчика и послед. Пусть выпадет послед!
1	11	6	10580	content	1.0	633291,633292	yathā vāto yathā mano yathā patanti pakṣiṇaḥ / evā tvaṃ daśamāsya sākaṃ jarāyuṇā patāva jarāyu padyatām	Как ветер, как мысль, Как птицы летят, Так лети ты о десяти месяцах Вместе с последом! Пусть выпадет послед!
1	12	1	10581	unmatched	0.474	633293_1,633294_1	jarāyu jaḥ prathamaḥ usriyaḥ vṛṣā vāta abhra jāḥ stanayan eti vṛṣṭyā / sa naḥ mṛḍāti tanve ṛju gaḥ rujan yaḥ ekam ojaḥ tredhā vicakrame	Рыжий бык, рожденный первым из последа, Рожденный из ветра (и) тучи, движется, грохоча, вместе с дождем. Да пощадит он наши тела, устремляясь напрямик (и все) ломая, (Тот), кто единая сила, а выступил трояко!
1	12	2	10581	content	0.667	633295_1,633296_1	aṅge aṅge śociṣā śiśriyāṇam namasyantaḥ tvā haviṣā vidhema / aṅkān samaṅkān haviṣā vidhema yaḥ agrabhīt parva asya grabhītā	Поклоняясь тебе, обосновавшемуся со (своим) жаром в каждом члене, Мы хотим почтить тебя жертвенным возлиянием. Мы хотим почтить жертвенным возлиянием крючья (и) скобы (У того), кто схватил его суставы, (кто) хвататель!
1	12	3	10581	unmatched	0.421	633297_1,633298_1	muñca śīrṣaktyāḥ uta kāsaḥ enam paruḥ paruḥ āviveśa yaḥ asya / yaḥ abhra jāḥ vāta jāḥ yaḥ ca śuṣmaḥ vanaspatīn sacatām parvatān ca	Освободи его от головной боли и от кашля, (Вызванных тем), кто проник в каждый его сустав. Пусть порыв, который рожден из тучи, рожден из молнии, Настигнет лесные деревья и горы!
1	12	4	10581	content	0.875	633299_1,633300_1	śam me parasmai gātrāya śam astu avarāya me / śam me caturbhyaḥ aṅgebhyaḥ śam astu tanve mama	Благо моему верхнему члену (тела), Благо пусть будет моему нижнему! Благо моим четырем конечностям, Благо пусть будет телу моему!
1	13	1	10582	content	0.714	633301_1,633302_1	namaḥ te astu vidyute namaḥ te stanayitnave / namaḥ te astu aśmane yena ā dūḍāśe asyasi	Поклон пусть будет твоей молнии, Поклон — твоему грому! Поклон пусть будет твоему камню, Которым ты швыряешь в нечестивого!
1	13	2	10582	unmatched	0.462	633303_1,633304_1,633304_2	namaḥ te pravataḥ napāt yatas tapaḥ samūhasi / mṛḍayā naḥ tanūbhyaḥ / mayaḥ tokebhyaḥ kṛdhi	Поклон тебе, отпрыск высоты, Откуда ты собираешь (свой) жар! Помилуй нас самих! Сотвори благо потомкам!
1	13	3	10582	content	0.714	633305_1,633305_2,633306_1,633306_2	pravataḥ napāt namaḥ eva astu tubhyam / namaḥ te hetaye tapuṣe ca kṛṇmaḥ / vidma te dhāma paramam guhā yat / samudre antar nihitā asi nābhiḥ	Отпрыск высоты, пусть будет так тебе поклон: Мы делаем поклон твоему дротику и жару. Мы знаем твою высшую обитель, что в тайне. Ты помещена внутри океана как пуп.
1	13	4	10582	content	0.737	633308_1,633308_2	yām tvā devāḥ asṛjanta viśve iṣum kṛṇvānāḥ asanāya dhṛṣṇum sā naḥ mṛḍa vidathe gṛṇānā / tasyai te namaḥ astu devi	О ты, которую создали все боги, Делая дерзкую стрелу для метания, Помилуй нас, воспеваемая в собрании! Тебе, такой (как ты есть), пусть будет поклон, о богиня!
1	14	1	10583	content	0.5	633309_1,633310_1	bhagam asyāḥ varcaḥ ādiṣi adhi vṛkṣāt iva srajam / mahā budhnaḥ iva parvataḥ jyok pitṛṣu āstām	Я взял себе ее счастливую долю, блеск, Как венок с дерева. Словно гора с большим основанием, Пусть она долго сидит у предков!
1	14	2	10583	content	0.688	633311_1,633312_1	eṣā te rājan kanyā vadhūḥ ni dhūyatām yama / sā mātuḥ badhyatām gṛhe atha u bhrātuḥ atha u pituḥ	Эту девицу, о царь, Пусть столкнут к тебе невестой, о Яма! Пусть привяжут ее в доме у матери, И у брата, и у отца!
1	14	3	10583	content	0.8	633313_1,633313_2,633314_1	eṣā te kula pāḥ rājan / tām u te pari dadmasi / jyok pitṛṣu āsātai ā śīrṣṇaḥ śamopyāt	Она твоя хозяйка в доме, о царь, Ее мы тебе и вручаем. Долго будет сидеть она у предков, Пока не осыплются (волосы) с головы.
1	14	4	10583	content	0.769	633316_1	asitasya te brahmaṇā kaśyapasya gayasya ca antar kośam iva jāmayaḥ api nahyāmi te bhagam	Заклинанием Аситы, Кашьяпы и Гайи Я запираю твою счастливую долю, Как сёстры — то, что внутри ларя.
1	15	1	10585	content	1.0	633317,633318	saṃ saṃ sravantu sindhavaḥ saṃ vātāḥ saṃ patatriṇaḥ / imaṃ yajñaṃ pradivo me juṣantāṃ saṃsrāvyeṇa haviṣā juhomi	Пусть стекаются вместе реки, Вместе ветры, вместе (слетаются) птицы! Пусть они радуются этой жертве моей! Я жертвую стечением жертвенных возлияний.
1	15	2	10585	content	1.0	633319,633320	ihaiva havam ā yāta ma iha saṃsrāvaṇā utemaṃ vardhayatā giraḥ / ihaitu sarvo yaḥ paśur asmin tiṣṭhatu yā rayiḥ	Прямо сюда на зов мой придите, Стекаясь сюда! Усильте этого (человека), о песни! Сюда пусть придет весь скот, что (есть)! Пусть пребывает в нем (все) богатство, что (есть)!
1	15	3	10585	content	1.0	633321,633322	ye nadīnāṃ saṃsravanty utsāsaḥ sadam akṣitāḥ / tebhir me sarvaiḥ saṃsrāvair dhanaṃ saṃ srāvayāmasi	Те не иссякающие вечно источники Рек, что стекаются вместе, — Всеми этими стечениями Мы заставляем стекаться ко мне богатство.
1	15	4	10585	content	1.0	633323,633324	ye sarpiṣaḥ saṃsravanti kṣīrasya codakasya ca / tebhir me sarvaiḥ saṃsrāvair dhanaṃ saṃ srāvayāmasi	Те (потоки) масла, и молока, и воды, Что стекаются вместе, — Всеми этими стечениями Мы заставляем стекаться ко мне богатство.
1	16	1	10586	content	0.538	633326_1	ye amāvāsyām rātrim udasthuḥ vrājam attriṇaḥ agniḥ turīyaḥ yātu hā saḥ asmabhyam adhi bravat	(Те) пожиратели, что возникли роем В ночь новолуния, — Четвертый Агни, убийца злых духов, Да подбодрит он нас (против них)!
1	16	2	10586	content	0.5	633327_1,633327_2,633328_1,633328_2	sīsāya adhi āha varuṇaḥ / sīsāya agniḥ upāvati / sīsam me indraḥ prāyacchat / tat aṅga yātu cātanam	Свинец благословил Варуна, Свинец нравится Агни, Свинец мне пожаловал Индра — Вот он и изгоняет злых духов!
1	16	3	10586	content	0.917	633329_1,633329_2,633330_1	idam viṣkandham sahate / idam bādhate attriṇaḥ / anena viśvā sasahe yā jātāni piśācyāḥ	Он одолевает вишкандху, Он оттесняет пожирателей, С ним я одолел все Роды, которые пишачи.
1	16	4	10586	content	0.625	633332_1	yadi naḥ gām haṃsi yadi aśvam yadi pūruṣam tam tvā sīsena vidhyāmaḥ yathā naḥ asaḥ a vīra hā	Если ты убиваешь у нас корову, Если коня, если человека, То мы пронзаем тебя свинцом, Чтобы был ты нам не убийцей героев!
1	17	1	10587	unmatched	0.273	633334_1	amūḥ yāḥ yanti yoṣitaḥ hirāḥ lohita vāsasaḥ a bhrātaraḥ iva jāmayaḥ tiṣṭhantu hata varcasaḥ	Вон те женщины, что уходят, Вены в красных одеждах, — Как безбратние сестры, Пусть остановятся они с разбитым блеском!
1	17	2	10587	content	0.714	633335_1,633335_3,633336_1,633336_2	tiṣṭha avare / uta tvam tiṣṭha madhyame / kaniṣṭhikā ca tiṣṭhati / tiṣṭhāt id dhamaniḥ mahī	Остановись, нижняя! Остановись, верхняя! И ты, средняя, остановись! Если останавливается самая маленькая, Пусть тогда остановится и великий сосуд!
1	17	3	10587	content	0.636	633338_1,633338_2	śatasya dhamanīnām sahasrasya hirāṇām asthuḥ id madhyamāḥ imāḥ / sākam antāḥ araṃsata	Из сотни сосудов, Из тысячи вен Вот остановились эти средние. Одновременно успокоились концы.
1	17	4	10587	content	0.667	633339_1,633340_1	pari vaḥ sikatāvatī dhanūḥ bṛhatī akramīt / tiṣṭhata ilayata su kam	Вас обступил большой Песчаный берег. Остановитесь! Совсем уймитесь!
1	18	1	10588	content	1.0	633341,633342	nir lakṣmyaṃ lalāmyaṃ nir arātiṃ suvāmasi / atha yā bhadrā tāni naḥ prajāyā arātiṃ nayāmasi	Мы из(гоняем) бледный знак на лбу, Мы изгоняем враждебность. А те, что хорошие, их (мы сохраняем) для нашего потомства. Мы уводим враждебность.
1	18	2	10588	content	1.0	633343,633344	nir araṇiṃ savitā sāviṣak pador nir hastayor varuṇo mitro aryamā / nir asmabhyam anumatī rarāṇā premāṃ devā asāviṣuḥ saubhagāya	Савитар изгнал неприятность в ногах, Варуна, Митра, Арьяман — в руках. Из(гнала) Анумати, награждающая нас. Боги создали эту (женщину) для счастья.
1	18	3	10588	content	1.0	633345,633346	yat ta ātmani tanvāṃ ghoram asti yad vā keśeṣu praticakṣaṇe vā / sarvaṃ tad vācāpa hanmo vayaṃ devas tvā savitā sūdayatu	(То) ужасное, что есть в твоем существе, на теле, Или что в волосах, или в облике (твоем), — Все это мы выбиваем речью. Пусть бог Савитар приведет тебя в порядок!
1	18	4	10588	content	1.0	633347,633348	riśyapadīṃ vṛṣadatīṃ goṣedhāṃ vidhamām uta / vilīḍhyaṃ lalāmyaṃ tā asman nāśayāmasi	С антилопьими ногами, с бычьими зубами. Отпугивающую коров и задувающую, Зализанную, с бледным знаком на лбу — Их мы заставляем исчезнуть от нас.
1	19	1	10589	unmatched	0.385	633349_1,633349_2,633350_1	mā naḥ vidan vivyādhinaḥ / mā u abhivyādhinaḥ vidan / ārāt śaravyāḥ asmat viṣūcīḥ indra pātaya	Да не найдут нас пронзающие насквозь! Да не найдут и вонзающиеся! О Индра, пусти лететь во все стороны Далеко от нас град стрел!
1	19	2	10589	unmatched	0.385	633351_1,633352_1	viṣvañcaḥ asmat śaravaḥ patantu ye astāḥ ye ca asyāḥ / daivīḥ manuṣya iṣavaḥ mama amitrān vi vidhyata	Да разлетятся во все стороны от нас Те копья, что брошены и что собираются бросить! О божественные стрелы людей, Пронзите насквозь моих недругов!
1	19	3	10589	content	0.5	633354_1	yaḥ naḥ svaḥ yaḥ araṇaḥ sajātaḥ uta niṣṭyaḥ yaḥ asmāṁ abhidāsati rudraḥ śaravyayā etān mama amitrān vi vidhyatu	Кто нам свой, кто чужой, Сородич, а также посторонний, Кто враждует с нами — Рудра да пронзит насквозь Градом стрел этих моих недругов!
1	19	4	10589	content	0.562	633356_1,633356_2	yaḥ sapatnaḥ yaḥ a sapatnaḥ yaḥ ca dviṣan śapāti naḥ devāḥ tam sarve dhūrvantu / brahma varma mama antaram	Кто соперник, кто не соперник И кто, ненавидя, проклянет нас — Да поразят того все боги! Заклинание — моя внутренняя защита.
1	20	1	10590	content	0.55	633357_1,633357_2,633358_1,633358_2	a dāra sṛt bhavatu deva soma / asmin yajñe marutaḥ mṛḍata naḥ / mā naḥ vidat abhibhā mā u aśastiḥ / mā naḥ vidat vṛjinā dveṣyā yā	Да будет (мелодия) адарасрит, о бог Сома! Будьте милостивы к нам, о Маруты, на этом жертвоприношении! Да не найдет нас ни дурное предзнаменование, ни проклятие! Да не найдет (нас) обман, который ненавистен!
1	20	2	10590	unmatched	0.333	633360_1	yuvam tam mitrāvaruṇau asmat yāvayatam pari	Какое метательное оружие злодеев Пойдет в ход сегодня — О Митра-Варуна, Удержите вы его от нас!
1	20	3	10590	content	0.625	633361_1,633362_1,633362_2	itas ca yat amutas ca yat vadham varuṇa yāvaya / vi mahat śarma yaccha / varīyaḥ yāvaya vadham	То, что отсюда, и то, что оттуда, — Удержи, Варуна, оружие! Распространи великую защиту! Подальше удержи оружие!
1	20	4	10590	content	0.643	633363_1	śāsaḥ itthā mahāṁ asi amitra sāhaḥ astṛtaḥ na yasya hanyate sakhā na jīyate kadācana	Ты, в самом деле, могучий повелитель, Подавляющий недругов, неодолимый, Чьего друга не убивают (И) никогда не побеждают.
